objectid,filename,title,creator,date,description,subject,location,latitude,longitude,format original,format,type,identifier,language,source,rights,rightsstatement
nimitz1,https://tyvictoria.github.io/Nimitz-Images/nimitz1.jpg,Fleet Admiral Chester W. Nimitz and Mary Nimitz at Christening of U.S.S. Buck,,1945-03-11,Photograph of Fleet Admiral Chester W. Nimitz and Mary Nimitz at Christening of the U.S.S. Buck,"United States. Navy; Nimitz, Chester W.; Nimitz, Mary; U.S.S. Buck; Ships",United States - California - San Francisco County - San Francisco,37.773972,-122.431297,Black and White Photograph,image/jpeg,Image;StillImage,2005_661_259q,eng,National Museum of the Pacific War,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz2,https://tyvictoria.github.io/Nimitz-Images/nimitz2.jpg,Christening of the U.S.S. Buck,,1945-03-11,"Photograph of Archbishop Mitty, Fleet Admiral Chester W. Nimitz, and Mary Nimitz at the Christening of the U.S.S. Buck.","United States. Navy; Nimitz, Chester W.; Nimitz, Mary; Mitty, John Joseph; U.S.S. Buck; Ships",United States - California - San Francisco County - San Francisco,37.773972,-122.431297,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.259n,eng,National Museum of the Pacific War,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz3,https://tyvictoria.github.io/Nimitz-Images/nimitz3.jpg,Catherine Freeman Nimitz at U.S.S. Sargo Christening,,1938-06-06,Photograph of Catherine Freeman Nimitz at christening of U.S.S. Sargo.,"Nimitz, Catherine Freeman; U.S.S. Sargo; Submarines",United States - Connecticut - New London County - Groton,41.348333,-72.0775,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.259s,eng,National Museum of the Pacific War,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz4,https://tyvictoria.github.io/Nimitz-Images/nimitz4.jpg,"Fleet Admiral Chester W. Nimitz, Catherine Nimitz, and Mary Nimitz",,1942-12-09,"Photograph of Fleet Admiral Chester W. Nimitz, Catherine Nimitz, and Mary Nimitz at Naval Air Station, Alameda, California.","United States. Navy; Nimitz, Chester W.; Nimitz, Mary; Nimitz, Catherine Freeman; Naval Air Station Alameda",United States - California -  Alameda County - Alameda,37.765205,-122.241638,Black and White Photograph,image/jpeg,Image;StillImage,2005.661.259x,eng,National Museum of the Pacific War,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz5,https://tyvictoria.github.io/Nimitz-Images/nimitz5.jpg,Chester W. Nimitz Signs the Japanese Instrument of Surrender,,1945-09-02,Photograph of Fleet Admiral Chester W. Nimitz signing the Japanese instrument of surrender.,"United States. Navy; Nimitz, Chester W.; U.S.S. Missouri; Tokyo Bay; Surrender; WW2; Ships",Japan - Kanto Region - Tokyo Bay,35.416665,139.7833302,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008d-g,eng,National Museum of the Pacific War,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz6,https://tyvictoria.github.io/Nimitz-Images/nimitz6.jpg,Chester W. Nimitz Sits at Desk,,1965-02-24,Photograph of Chester W. Nimitz sitting at a desk for 80th birthday anniversary.,"United States. Navy; Nimitz, Chester W.; Birthdays",United States - California - San Francisco County - San Francisco,37.773972,-122.431297,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008d-kk,eng,National Museum of the Pacific War,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz7,https://tyvictoria.github.io/Nimitz-Images/nimitz7.jpg,Admiral Chester W. Nimitz and Captain P. V. Mercer in an Office,,1943-11-22,"Photograph of Admiral Chester W. Nimitz in his office, with his dog, Makalapa, laying under his desk during a press conference. Captain P. V. Mercer, Admiral Nimitz's Aide and Assistant Chief of Staff is on right.","United States. Navy; Nimitz, Chester W.; Mercer, P. V.; Makalapa; Dogs; WW2",United States - Hawaii - Honolulu County - Oahu Island,21.34927,-157.94397,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008d-nn,eng,National Museum of the Pacific War,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz8,https://tyvictoria.github.io/Nimitz-Images/nimitz8.jpg,Fleet Admiral Chester W. Nimitz Salutes on Stage,,1945-10-05,Photograph of Fleet Admiral Chester W. Nimitz saluting on stage in Washington D.C..,"United States. Navy; Nimitz, Chester W.",United States - Washington D.C.,38.9072,-77.0369,Black and White Photograph,image/jpeg,Image;StillImage,	2017.092.008d-oo,eng,National Museum of the Pacific War,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz9,https://tyvictoria.github.io/Nimitz-Images/nimitz9.jpg,"Ralph H. Mitchell, Holland M. Smith, Chester W. Nimitz, Aubrey W. Fitch, and William F. Halsey",,1943-06-16,"Photograph of Major General Mitchell, Major General Smith, Admiral Chester W. Nimitz, Vice Admiral Fitch, and Admiral Halsey.","Fitch, Aubrey W.; Halsey, William F., Jr.; Smith, Holland M.;Mitchell, Ralph H.; Nimitz, Chester W.; WW2",Vanuatu - Espiritu Santo Island,-15.416667,166.9,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008d-p,eng,National Museum of the Pacific War,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
nimitz10,https://tyvictoria.github.io/Nimitz-Images/nimitz10.jpg,"Douglas MacArthur, Franklin D. Roosevelt, and Chester W. Nimitz Onboard the U.S.S. Baltimore, #2",Official U.S. Navy Photograph,1944-07-26,"Photograph of General Douglas MacArthur, President Franklin D. Roosevelt, and Admiral Chester W. Nimitz sitting side by side on the U.S.S. Baltimore.","United States. Navy; United States. Air Force; Roosevelt, Franklin D.; Macarthur, Douglas; Nimitz, Chester W.; U.S.S. Baltimore; Presidents; Pacific Fleet; WW2; Ships",United States - Hawaii - Honolulu County - Honolulu,21.3099,-157.858093,Black and White Photograph,image/jpeg,Image;StillImage,2017.092.008d-tt,eng,National Museum of the Pacific War,Commercial use is prohibited without permission from the National Museum of the Pacific War.,https://creativecommons.org/licenses/
